City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,rawson,-43.3002,-65.1023,90.73,17,10,15.82,AR,1678555148
171,lleida,41.6167,0.6167,72.9,50,0,32.21,ES,1678555377
172,portland,45.5234,-122.6762,45.93,88,100,6.91,US,1678555296
173,kikwit,-5.041,18.8162,72.5,92,89,4.34,CD,1678555379
174,fairbanks,64.8378,-147.7164,-11.24,79,0,0.0,US,1678555200
175,verkhnevilyuysk,63.4453,120.3167,-22.77,100,95,2.68,RU,1678555381
176,ahipara,-35.1667,173.1667,60.37,82,10,4.23,NZ,1678555382
177,christchurch,-43.5333,172.6333,56.91,89,98,1.14,NZ,1678555265
178,bulgan,48.8125,103.5347,16.29,53,0,2.62,MN,1678555384
179,barguzin,53.6167,109.6167,-2.7,82,96,1.32,RU,1678555385
180,half moon bay,37.4636,-122.4286,59.32,87,100,8.05,US,1678555386
181,katsuura,35.1333,140.3,54.28,64,0,5.99,JP,1678555387
182,anadyr,64.75,177.4833,-8.9,77,0,15.66,RU,1678555388
183,lorengau,-2.0226,147.2712,79.34,82,93,1.66,PG,1678555390
184,pierre,44.3683,-100.351,37.85,57,0,12.66,US,1678555391
185,camabatela,-8.1881,15.375,66.04,93,100,4.99,AO,1678555392
186,birin,26.8865,88.0718,57.24,40,25,6.91,NP,1678555394
187,cap-chat,49.1001,-66.6821,30.2,64,74,6.91,CA,1678555395
188,itarema,-2.9248,-39.9167,85.66,64,78,12.21,BR,1678555396
189,richards bay,-28.783,32.0377,78.69,83,0,13.38,ZA,1678555398
190,faya,18.3851,42.4509,60.91,71,62,7.29,SA,1678555399
191,puerto escondido,15.85,-97.0667,88.63,66,0,6.91,MX,1678555400
192,sao felix do xingu,-6.6447,-51.995,88.66,58,97,4.29,BR,1678555401
193,yumen,40.2833,97.2,30.09,22,0,9.35,CN,1678555403
194,mattru,7.6244,-11.8332,90.73,47,92,9.89,SL,1678555404
195,mahebourg,-20.4081,57.7,79.25,83,75,5.75,MU,1678555405
196,ketchikan,55.3422,-131.6461,37.87,35,75,9.22,US,1678555407
197,orumiyeh,37.5527,45.0761,45.95,42,75,4.61,IR,1678555408
198,pacific grove,36.6177,-121.9166,56.89,92,75,1.01,US,1678555167
199,santiago del estero,-27.7951,-64.2615,100.47,27,30,14.61,AR,1678555302
